ID;Organisation;Sector;Subsector;Service;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type
322;PRC;Welfare;Ready to Eat Meals;Biscuit;1740;174002;;Finished;packs;109
5;PRC;Health;Health;Blood Pressure;562;56216;Balogo;Finished;individuals;4
49;PRC;Health;Health;Blood Pressure;516;51612;;Finished;individuals;7
145;PRC;Health;Health;Blood Pressure;410;41001;;Finished;individuals;30
194;PRC;Health;Health;Blood Pressure;1667;166701;;Finished;individuals;42
94;GRC;Relief;Cash for Shelter;CfW: Php 500;520;52004;Camburo;Finished;individuals;19
96;GRC;Relief;Cash for Shelter;CfW: Php 500;520;52004;Maysuram;Finished;individuals;20
97;GRC;Relief;Cash for Shelter;CfW: Php 500;520;52004;Guiamlong;Finished;individuals;20
98;GRC;Relief;Cash for Shelter;CfW: Php 500;520;52004;Hitoma;Finished;individuals;20
99;GRC;Relief;Cash for Shelter;CfW: Php 500;520;52004;Sabangan;Finished;individuals;20
6;PRC;Welfare;PSS;Child Friendly Activities;562;56216;Brgy. Balogo;Finished;individuals;150
29;PRC;Welfare;PSS;Child Friendly Activities;562;56207;Brgy Ogod;Finished;individuals;6
30;PRC;Welfare;PSS;Child Friendly Activities;562;56207;Brgy Rawis;Finished;individuals;13
33;PRC;Welfare;PSS;Child Friendly Activities;562;56207;Brgy Ogod;Finished;individuals;15
41;PRC;Welfare;PSS;Child Friendly Activities;562;56212;Brgy Banuang Daan;Finished;individuals;2
45;PRC;Welfare;PSS;Child Friendly Activities;562;56214;BrgyTupaz;Finished;individuals;168
59;PRC;Welfare;PSS;Child Friendly Activities;562;56212;Brgy Camcaman;Finished;individuals;55
60;PRC;Welfare;PSS;Child Friendly Activities;562;56212;Brgy Gadgaron;Finished;individuals;84
69;PRC;Welfare;PSS;Child Friendly Activities;562;56216;Brgy Buenavista;Finished;individuals;74
70;PRC;Welfare;PSS;Child Friendly Activities;562;56211;Brgy Aguada Norte;Finished;individuals;125
86;PRC;Welfare;PSS;Child Friendly Activities;562;56203;Brgy JP Laurel;Finished;individuals;155
87;PRC;Welfare;PSS;Child Friendly Activities;562;56203;Brgy Zone 7;Finished;individuals;210
100;PRC;Welfare;PSS;Child Friendly Activities;562;56216;Brgy. Caricaran;Finished;individuals;374
115;PRC;Welfare;PSS;Child Friendly Activities;562;56212;Matnog Church;Finished;individuals;19
147;PRC;Welfare;PSS;Child Friendly Activities;505;50504;Tandarora;Finished;individuals;31
176;PRC;Welfare;PSS;Child Friendly Activities;541;54107;San Ramon;Finished;individuals;36
184;PRC;Welfare;PSS;Child Friendly Activities;541;54107;Penafrancia;Finished;individuals;41
222;PRC;Welfare;PSS;Child Friendly Activities;517;51709;Sitio Gogon;Finished;individuals;46
224;PRC;Welfare;PSS;Child Friendly Activities;541;54107;Quezon;Finished;individuals;47
256;PRC;Welfare;PSS;Child Friendly Activities;541;54107;Poblacion 2;Finished;individuals;64
308;PRC;Welfare;PSS;Child Friendly Activities;517;51707;Castillo;Finished;individuals;100
317;PRC;Welfare;PSS;Child Friendly Activities;541;54107;Osmena;Finished;individuals;106
318;PRC;Welfare;PSS;Child Friendly Activities;541;54107;Osmena;Finished;individuals;106
348;PRC;Welfare;PSS;Child Friendly Activities;541;54120;Iniwaran;Finished;individuals;150
352;PRC;Welfare;PSS;Child Friendly Activities;541;54120;Busing;Finished;individuals;150
353;PRC;Welfare;PSS;Child Friendly Activities;541;54120;Boca Chica;Finished;individuals;150
1;PRC;Health;Health;First Aid;516;51612;;Finished;individuals;1
2;PRC;Health;Health;First Aid;562;56216;Balogo;Finished;individuals;1
4;PRC;Health;Health;First Aid;410;41001;;Finished;individuals;1
17;PRC;Health;Health;First Aid;541;54111;;Finished;individuals;2
392;PRC;Health;Health;First Aid;505;50505;Bautista;Finished;individuals;1
37;PRC;Relief;Food Items;Food Item ( Standard);562;56207;Brgy Ogod;Finished;families;130
38;PRC;Relief;Food Items;Food Item ( Standard);562;56207;Brgy Rawis;Finished;families;135
85;PRC;Relief;Food Items;Food Item ( Standard);1043;104304;Maningcol;Finished;families;15
92;PRC;Relief;Food Items;Food Item ( Standard);1759;175910;Cobrador;Finished;families;18
123;PRC;Relief;Food Items;Food Item ( Standard);1759;175910;Lanos;Finished;families;25
144;PRC;Relief;Food Items;Food Item ( Standard);1751;175102;New Dagupan;Finished;families;29
146;PRC;Relief;Food Items;Food Item ( Standard);1751;175102;Tanyag;Finished;families;30
178;PRC;Relief;Food Items;Food Item ( Standard);520;52009;JMA Tucao;Finished;families;38
181;PRC;Relief;Food Items;Food Item ( Standard);1043;104304;Marfrancisco;Finished;families;40
207;PRC;Relief;Food Items;Food Item ( Standard);520;52009;Siay;Finished;families;43
221;PRC;Relief;Food Items;Food Item ( Standard);1043;104304;Maliangcog;Finished;families;45
